層級,資料集類別,資料集名稱,reviewer ,資料集連結,"1.資料是否存在
YES=1; NO=0",2. 線上取得,3. 是否為機器可讀,4. 是否可整批下載,5. 是否免費,6. 是否有開放授權,7. 是否為最新版本,8. 是否定期更新,9. 相關訊息是否容易找到,10.是否是關聯性資料(linked data),分數,其它評論
0 法制與政府組織,0.1 法律,中文法規_法律資料檔下載,克,http://law.moj.gov.tw/PublicData/DevelopGuide.aspx,1,1,1,1,1,1,1,1,1,0,,
0 法制與政府組織,0.1 法律,中文法規_命令資料檔下載,克,http://law.moj.gov.tw/PublicData/DevelopGuide.aspx,1,1,1,1,1,1,1,1,1,0,,
0 法制與政府組織,0.1 法律,法規草案,克,http://law.moj.gov.tw/News/news_list.aspx?type=s,1,0,0,0,1,0,1,1,0,0,,
0 法制與政府組織,0.2 政府架構與人事 ,行政院各部會組織架構圖,克,http://data.gov.tw/node/31707,1,1,0,1,1,1,1,0,1,0,,
0 法制與政府組織,0.2 政府架構與人事 ,行政院所屬各機關公務人員概況,克,http://www.dgpa.gov.tw/mp/informationlist?uid=330&mid=328,1,1,0,1,1,1,1,1,0,0,,
0 法制與政府組織,0.2 政府架構與人事 ,地方公務人員統計資料,克,http://www.dgpa.gov.tw/mp/informationlist?uid=331&mid=328,1,1,0,1,1,1,1,1,0,0,,
0 法制與政府組織,0.2 政府架構與人事 ,直轄市、縣市界線(TWD97經緯度),克,http://data.gov.tw/node/7442,1,1,1,1,1,1,1,1,1,0,,
0 法制與政府組織,0.3 司法與判決,地方法院刑事第一審案件裁判結果－按罪名別分,克,http://www.judicial.gov.tw/juds/,1,1,0,0,1,1,0,0,0,0,,
0 法制與政府組織,0.3 司法與判決,裁判書查詢,克,http://jirs.judicial.gov.tw/FJUD/,1,1,0,0,1,1,1,1,0,0,,
0 法制與政府組織,0.3 司法與判決,起訴書,克,,1,0,0,0,0,0,0,0,0,0,,
0 法制與政府組織,0.3 司法與判決,地方法院辦理刑事案件收結情形一按機關別分,克,http://www.judicial.gov.tw/juds/year104/09/064.pdf,1,1,0,0,1,1,0,0,0,0,,
0 法制與政府組織,0.3 司法與判決,矯正機關收容人數（年月別）,克,http://www.rjsd.moj.gov.tw/rjsdweb/book/Book.aspx?category_id=9,1,1,0,0,1,1,1,1,0,0,,
1 政府課責,1.1 選舉與罷免,中選會選舉資料庫,克,http://data.gov.tw/node/13119,1,1,1,1,1,1,1,1,1,0,,
1 政府課責,1.1 選舉與罷免,罷免統計 (第8屆立法委員(臺北市第4選舉區)蔡正元罷免案),克,http://www.cec.gov.tw/central/cms/re_legislator,1,1,0,0,1,0,1,1,0,0,,
1 政府課責,1.1 選舉與罷免,105年總統副總統及立法委員選舉公報(URL),克,http://data.gov.tw/node/26367,1,1,1,1,1,1,1,1,1,0,,
1 政府課責,1.1 選舉與罷免,地方法院檢察署執行違反公職人員選舉罷免法案件裁判確定人數(統計),克,http://data.gov.tw/node/15035,1,1,1,1,1,1,1,1,1,0,,
1 政府課責,1.2 預決算與財政收支,106年中央政府總預算案相關表件,克,http://data.gov.tw/node/35302,1,1,1,1,1,1,1,1,1,0,,
1 政府課責,1.2 預決算與財政收支,中央政府總決算,克,http://data.gov.tw/node/10982,1,1,0,1,1,1,0,1,1,0,,
1 政府課責,1.2 預決算與財政收支,中央政府支出季報,克,http://www.dgbas.gov.tw/ct.asp?xItem=40539&ctNode=6296&mp=1,1,1,0,0,1,1,1,1,0,0,,
1 政府課責,1.2 預決算與財政收支,各單位月報(以主計總處為例),克,http://www.dgbas.gov.tw/ct.asp?xItem=40920&ctNode=5671&mp=1,1,1,0,0,1,1,1,1,0,0,,
1 政府課責,1.2 預決算與財政收支,103年度歷年各級政府淨收支概況表,克,http://data.gov.tw/node/9173,1,1,1,1,1,1,1,1,1,0,,
1 政府課責,1.3 政風與課責,政治獻金查詢,chunghao,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/sp?xdUrl=/wSite/PoliticAccount/PAQuery.jsp&ctNode=353&mp=2,1,1,0,0,1,0,1,1,0,0,,
1 政府課責,1.3 政風與課責,財產申報資料查詢,If,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/sp?xdUrl=/wSite/SpecialPublication/baseQuery.jsp,1,1,0,0,1,0,1,1,0,0,,
1 政府課責,1.3 政風與課責,罰鍰確定公告,If,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/sp?xdUrl=/wSite/SpecialPublication/fineList.jsp,1,1,0,0,1,0,1,1,0,0,,
2 政府運作,2.1 普查資料,各村（里）戶籍人口統計月報表,If,http://data.gov.tw/node/8411,1,1,1,1,1,1,1,1,1,0,,
2 政府運作,2.1 普查資料,國民所得統計-常用資料-季,If,http://data.gov.tw/node/6799,1,1,1,1,1,1,1,1,1,0,,
2 政府運作,2.1 普查資料,消費者物價基本分類指數,If,http://data.gov.tw/node/6019,1,1,1,1,1,1,1,1,1,0,,
2 政府運作,2.1 普查資料,國土利用調查成果,If,http://www.nlsc.gov.tw/Home/MakePage/136?level=136,1,0,1,0,0,0,1,1,1,0,,
2 政府運作,2.1 普查資料,國土測繪中心通用版電子地圖,克,http://maps.nlsc.gov.tw/,1,0,1,1,1,0,1,1,1,0,,
2 政府運作,2.2 法人基本資訊,公司設立登記清冊(月份),If,http://data.gov.tw/node/6047,1,1,1,1,1,1,1,1,1,0,,
2 政府運作,2.2 法人基本資訊,公益資訊平台,If,http://npo.moi.gov.tw/npom/homepage/list?nptype=NP100-2,1,1,1,0,1,0,1,1,0,0,,
2 政府運作,2.2 法人基本資訊,工會團體名冊,If,http://data.gov.tw/node/6278,1,1,1,1,1,1,1,1,1,0,,
2 政府運作,2.2 法人基本資訊,NGO公民政策,johnny,http://data.gov.tw/node/42794,1,1,1,1,1,1,1,0,1,0,,
2 政府運作,2.2 法人基本資訊,政府捐助財團法人名單,TCC,,1,0,0,0,0,0,0,0,0,0,,
