平台,連結,reviewer,有授權條款,資料授權條款名稱,政府網站資料開放宣告,提資料需求,提資料需求連結,資料集數量,應用範例  ,搜尋功能,回饋機制,資料欄位-資料集名稱,資料欄位-資料集描述,資料欄位-主要欄位說明,資料欄位-檔案格式,資料欄位-授權方式,資料欄位-授權說明網址,資料欄位-計費方式,資料欄位-提供機關名稱,資料欄位-機關聯絡人,資料欄位-聯絡人電話
政府資料開放平臺,http://data.gov.tw/,小克,Y,政府資料開放授權條款－第1版,Y,Y,http://data.gov.tw/suggest_page,25708,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
農業資料開放平臺,http://data.coa.gov.tw/,小克,Y,政府資料開放授權條款－第1版,N,N,NA,NA,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N
文化資料開放服務網,http://opendata.culture.tw/,小克,Not Open License,政府資料開放授權條款－第1版 & 文化部開放資料使用規範,N,N,NA,293,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
環境資源資料開放平臺,http://opendata.epa.gov.tw/,小克,Y,政府資料開放授權條款 - 第1版,N,N,NA,1028,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
臺北市政府,http://data.taipei/,小克,Y,臺北市政府資訊開放加值應用規範,N,Difficult to find,http://data.taipei/opendata/news/15fa7e25-5553-460f-b67c-44732e396a95;jsessionid=BBDF820C486F5D8424E766976F24B372#,2054,Y,Y,not for individiual dataset,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
新北市政府,http://data.ntpc.gov.tw/,小克,Y,政府資料開放授權條款-第1版,N,N,NA,2190,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
臺中市政府,http://data.taichung.gov.tw/GipOpenWeb/wSite/mp?mp=1,小克,Y,政府資料開放授權條款-第1版,N,N,NA,1009,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
宜蘭縣政府,http://opendat...-land.gov.tw/,小克,Y,宜蘭縣政府資料開放平臺資料使用規範,N,N,NA,187,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
高雄市政府,http://data.kcg.gov.tw/,小克,Y,政府資料開放授權條款－第1版,N,Y,http://data.kcg.gov.tw/suggest,659,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
新竹縣政府,https://data.hsinchu.gov.tw/index.aspx,小克,Y,政府資料開放授權條款－第1版,N,N,NA,110,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
